circuit_key,grand_prix,circuit_name,city,country,circuit_type,track_length_km,num_corners,num_drs_zones,race_laps,race_distance_km,pit_lane_speed_limit_kmh,pit_loss_delta_s,direction,elevation_change_m,overtaking_difficulty,tyre_stress,in_2022,in_2023,in_2024,notes,fastf1_location,fastf1_event
ITA,Italy,Autodromo Nazionale Monza,Monza,Italy,Permanent,5.793,11,2,53,306.7,80,23.5,Clockwise,13,Low,Low,1,1,1,Temple of Speed; slipstream battles; lowest downforce; fastest average speeds on calendar,Monza,Italian Grand Prix
SGP,Singapore,Marina Bay Street Circuit,Singapore,Singapore,Street,5.063,19,3,61,308.7,60,33.2,Anticlockwise,12,High,High,1,1,1,Longest race by time; 60 km/h pit limit; most expensive pit stop time on calendar; night race; extreme humidity,Marina Bay,Singapore Grand Prix
JPN,Japan,Suzuka Circuit,Suzuka,Japan,Permanent,5.807,18,1,53,307.5,80,27.0,Clockwise,40,Medium,High,1,1,1,Figure-eight layout; iconic Esses; 130R flat-out; high-speed; challenging in wet,Suzuka,Japanese Grand Prix
QAT,Qatar,Losail International Circuit,Lusail,Qatar,Permanent,5.38,16,2,57,306.9,80,29.9,Clockwise,5,High,High,0,1,1,MotoGP circuit adapted for F1; flat; fast and flowing; extreme heat; sprint 2023 and 2024; 2023 Qatar had world record pit stop (1.80s by McLaren),Lusail,Qatar Grand Prix
USA,USA,Circuit of the Americas,Austin,USA,Permanent,5.513,20,2,56,309.0,80,23.5,Anticlockwise,41,Medium,High,1,1,1,Anticlockwise; replica corners from famous circuits; Austin pit lane is one of shortest on calendar; sprint 2024,Austin,United States Grand Prix
MEX,Mexico,Autodromo Hermanos Rodriguez,Mexico City,Mexico,Permanent,4.304,17,3,71,305.6,80,21.0,Clockwise,7,Low,Low,1,1,1,High altitude (2200m) reduces downforce and engine power; stadium section through baseball stadium,Mexico City,Mexico City Grand Prix
BRA,Brazil,Autodromo Jose Carlos Pace (Interlagos),Sao Paulo,Brazil,Permanent,4.309,15,2,71,305.9,80,27.0,Anticlockwise,40,Low,High,1,1,1,Anticlockwise; winding pit exit; high tyre degradation; sprint 2022 and 2024; rain frequent,São Paulo,São Paulo Grand Prix
LAS,Las Vegas,Las Vegas Strip Circuit,Las Vegas,USA,Street,6.201,17,2,50,310.1,80,22.3,Anticlockwise,4,Medium,Low,0,1,1,Anticlockwise; 1.92km longest straight; very fast street circuit; night race; debuted 2023,Las Vegas,Las Vegas Grand Prix
ABU,Abu Dhabi,Yas Marina Circuit,Abu Dhabi,UAE,Permanent,5.281,16,2,58,306.2,80,22.0,Anticlockwise,1,Medium,Low,1,1,1,Anticlockwise; season finale; updated layout in 2021; faster post-revision; night race; flat,Yas Island,Abu Dhabi Grand Prix
CHN,China,Shanghai International Circuit,Shanghai,China,Permanent,5.451,16,2,56,305.066,80,23.0,Clockwise,30,Low,Medium,0,0,1,Long back straight with heavy braking; good overtaking opportunities.,Shanghai,Chinese Grand Prix
